name,content
pj721911,再看第三家確認阿
derekQQ,這個問題...可能要跑多家才能找到... 會回答這個問題的原因，有牙醫不會看牙周病...
justhappily,找第三家醫生 確認蛀牙是否誤判 不能肯定的話就要找更多家
joseph1357,是蛀牙標準不一吧！ 多看幾家
b85040312,小蛀牙XDD 幫你補一補你覺得健保可以請多少錢
lee7317,建議爬一下牙板，小蛀牙有些是還不用處理的。
dralanpa,康碩牙醫，但是完全預約制，因為只有醫師一人
lulusin,不嫌遠的話 八德有一家 我們全家大小看了二十幾年非常棒 的醫生～
tbu,我去歐唯貝斯咨詢矯正時也是被口說一堆蛀牙，去非凡又說沒有 ，當代也沒說有蛀牙
Uchiha,推薦廖永楷醫師
whisty216,有些是小蛀牙 但是還沒到要補的地步 所以他才跟你說沒 有吧
samuel30214,全家福不錯
espanol,青青不推，之前沒幫我補好
skyviviema,有聽說只有小蛀牙而且沒有持續擴大其實不要補比較好
a29230407,之前去當代興國，醫師檢查很仔細，很友善，推薦你﴿??
tatu0223,推薦群英吳醫師，我覺得比x青好太多 我也超怕痛，跑過幾家後，這家算好預約醫術又好的牙醫了 想當初我急性牙痛，給青x看預約了1個月，結果看沒多久醫 生請我另尋有舒眠的，結果去群英完全不用 我抽神經也沒打麻醉，他是塞藥滿滿殺神經，只要神經還有 感覺，他都說：沒關係～方法很多種，找最舒服的方式治療 最後很順利很舒服的根管完成
antiiss,推女漢子XD女牙醫每每把我弄到流血 打死不讓女牙醫看 只是幫我剔個牙喔 牙線搞到我流血 就知道有多大力
elleryqueen,"目前正在看宏儒謝醫師 感覺起來是雖然是會碎念的醫生 但其實人還不錯 技術也可 適合可接受爸爸""教導""的朋 友 (我目前正在根管 期間也拔了上排的智齒*1)"
amylin2729,也推群英！至少15年了吧～
metallican,我也看過很多 品臻超棒不解釋
linnette,品臻超不推 某男醫師幫我根管治療 沒幫我打麻醉 看我超 級痛才問我要不要打麻醉
naive,推壢新醫院牙醫 佛心幫我做自體移植 一般診所才不做
sperit,"青青醫生有耐心,好溝通,我小孩都給他顧 小孩蛀牙別家牙醫都說要根管,小孩害怕,我們跟牙醫討論結果 就先補起來,一直到換牙,我覺得很有心為病人想 已經1年多都沒疼痛了,再撐三年就可以換牙了"
kwinner,名一老醫生也是沒有留牙縫，為什麼阿？ 年輕的不會
imVAL,抽神經沒打麻醉好扯哦！
Slash1987,不要一直推群英啦 低調...
mcnightcc,壢新的不錯了，青青也很推，但是真的很難約診
sun545,推宏儒謝醫師！
tingiy,青青剛開第一次去沒什麼人     現在以月排隊了
gn00093006,中壢推一下新生的沙醫生 水平智齒是給他拔的
jean0914,極推薦壢新王醫師！（在他妙手下順利把四顆智齒給解決了 ～撒花）
qqlqlqlql,放殺神經的藥阿......
c4681209,結論，推哪家牙醫請連醫生名一起報上~不然真的各推各的 像拔智齒，歷新王醫生不錯~我也推薦給朋友~朋友也說不錯 但只限拔智齒！！其他就不清楚了~
ZO20,標題補個
chingdmla,也太慘了..中原大潤發旁邊的全家福牙醫不錯，sogo附近 也有一家疊字名字的牙醫忽然忘記名字，那家超難預約
kbwai,米樂牙醫
vvswallow,青青？
jason628,新生牙醫 巫醫師
a127n,格林哪位醫師呀?
yesmylord,真正沒醫德的連動手挖都不用就直接申報  所以你看到的 是有醫德還是沒醫德？
ilovemus,我想你應該找不到適合的醫生 ㄏㄏ
tibao,我也覺得青青比較適合一般保養；比較有問題我就會跑遠點去 潔明，但信任的醫師半退休了，其它不知道推薦哪個醫師
Yajblue,我推薦高鐵附近的維思登牙醫，因我前陣子趕著出國，裡面 的張朝富醫生幫我重新治療之前根管失敗發炎的臼齒，最後 還找到了第四根根管！！！最後才讓我放心出國，超謝謝他
s8155453,我住中壢，青青生意太好太難排（我在隔壁大樓上班）。 格林可以考慮，去過幾次，經驗不錯，醫生有水準。慈惠只 做一般治療，還可以。澄品做一般治療還ok。中壢高中對 面的X典，裝潢不錯，男醫師有點脾氣。内壢有間彼德，以 前在小診所給他看過，後來自己開業，人很不錯，但不夠 細心，審美觀不好（當我沒說）。最後我改到了當代，算是 目前我覺得服務最好設備最完善的，尤其是幫我治療的女 醫師。其他應該也有不錯的醫生，以上是我親身體驗，供你 參考。
feeling1024,大推全家福牙醫 在中原大潤發隔壁 以前我對看牙醫有恐懼 但是我現在完全信任全家福的 醫師 也比較敢去看牙醫了
goddc,新生路的晶華牙醫，環境設備很好，重點是護士還有醫生人很 親切，因為要抽神經還給我看pad抽神經的過程並且跟我解釋！
jialingyu,歐唯貝斯的蕭醫師 上次拔水平智齒完全不痛！
lovecab,壢新 智齒王...
jjalie,推中壢新生路台大聯安牙醫診所（sogo附近） 在那拔了四顆智齒
gn00093006,新生牙醫的沙醫生 兩顆水平智齒都給他拔 而且麻藥退了 也不會痛
cat715,智齒王 壢新王宏仁
kutkin,台大聯安  是快  用敲的 怕痛的還是去給人慢慢磨比較好.... 我一顆台大聯安  一顆  後站非凡  前者快恢復慢
angelafreet,壢新 智齒王+1
g4675,壢新王宏仁，拔過兩顆水平，無痛
onlyyou21,原po太小看王醫師的名氣了
jean0914,王宏仁醫師 沒有之一
aipado,壢新智齒王+1 術後幾乎沒恢復期
a5721541,壢新王醫師，兩顆都恢復迅速
gn02546574,有補牙王嗎？虎牙側邊蛀牙，上次隨便找一間說不能補…
Blue6,當然是去找壢新智齒王了
liondongdong,壢新智齒王 倒鉤水平輕鬆迅速
badtonight,王醫師  真的一下就拔完了
emily0222,壢新王醫師 輕鬆解決！術後無腫脹
petty0312,壢新 智齒王+1
candyX,壢新 智齒王+1
monkeywife,兩顆都找壢新王宏仁
summerly,智齒王XD但真的不痛又快
h9016888,王宏仁醫師真的很厲害!
cbc0402,王醫師人氣好高@@
Maonome,竟然得到智齒王的封號@@
TC0430,有沒有這麼猛....
knice1203,王醫師沒有之一
HBO10383,桃園藝文特區康喬，專處理智齒，可以google評價，不輸王 宏仁
chiangburger,智齒王真的不錯 術後無腫脹無感染
